timestamp,TP9,AF7,AF8,TP10
0.0,3.269203494163426e-05,1.5117933481345863e-05,3.90382382467384e-05,1.4141594511329842e-05
0.00390625,3.659739082169834e-05,1.6094272451361885e-05,4.0990916186770444e-05,1.6094272451361885e-05
0.0078125,3.610922133669034e-05,2.439315369649807e-05,5.905318713206685e-05,1.951145884641796e-05
0.01171875,3.4156543396658294e-05,3.7573729791714366e-05,8.30040024902724e-05,2.292864524147404e-05
0.015625,3.3668373911650276e-05,2.3416814726482047e-05,8.886203631036852e-05,1.755878090638592e-05
0.01953125,3.610922133669034e-05,-3.890165841153565e-06,6.835891794003205e-05,1.5606102966353874e-05
0.0234375,3.171569597161824e-05,2.4255268711375773e-06,6.295854301213094e-05,1.951145884641796e-05
0.02734375,2.439315369649807e-05,1.7070611421377907e-05,7.47051212451362e-05,1.902328936140995e-05
0.03125,3.659739082169834e-05,2.488132318150608e-05,8.349217197528039e-05,1.6094272451361885e-05
0.03515625,5.270698382696271e-05,2.5857662151522106e-05,8.544484991531244e-05,1.4141594511329842e-05
0.0390625,5.2218814341954696e-05,1.6582441936369896e-05,6.5887559922179e-05,1.5117933481345863e-05
0.04296875,4.294359412680248e-05,6.819052236209676e-06,4.391993309681851e-05,1.4629763996337851e-05
0.046875,4.245542464179448e-05,9.748069146257742e-06,3.806189927672238e-05,1.0724408116273763e-05
0.05078125,4.880162794689862e-05,3.1227526486610226e-05,5.124247537193867e-05,1.365342502632183e-05
0.0546875,5.612417022201878e-05,2.1464136786450005e-05,5.71005091920348e-05,1.4141594511329842e-05
0.05859375,4.440810258182652e-05,-3.401996356145554e-06,4.1479085671778456e-05,9.748069146257742e-06
0.0625,3.610922133669034e-05,-3.890165841153565e-06,2.6834001121538125e-05,1.2188916571297797e-05
0.06640625,4.001457721675442e-05,7.307221721217687e-06,2.3416814726482047e-05,1.0236238631265752e-05
0.0703125,4.245542464179448e-05,1.6094272451361885e-05,3.952640773174641e-05,1.2677086056305808e-05
0.07421875,4.245542464179448e-05,1.365342502632183e-05,5.319515331197072e-05,1.4141594511329842e-05
0.078125,3.90382382467384e-05,1.4491879011215552e-06,3.952640773174641e-05,1.2188916571297797e-05
0.08203125,3.952640773174641e-05,-2.5857792666514058e-05,1.7070611421377907e-05,1.2188916571297797e-05
0.0859375,4.001457721675442e-05,-1.0236369146257707e-05,1.6582441936369896e-05,9.259899661249731e-06
0.08984375,4.245542464179448e-05,2.829850957656216e-05,3.1227526486610226e-05,5.354543781185643e-06
0.09375,4.245542464179448e-05,3.171569597161824e-05,4.538444155184254e-05,5.842713266193654e-06
0.09765625,3.220386545662624e-05,1.2188916571297797e-05,4.831345846189061e-05,6.330882751201665e-06
0.1015625,3.171569597161824e-05,-9.61148931105499e-07,3.806189927672238e-05,7.307221721217687e-06
0.10546875,4.196725515678646e-05,2.3416814726482047e-05,3.0251187516594204e-05,5.842713266193654e-06
