TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2023-09-07 23:45:45.716,0.8113119,0.0946966,0.41349953,0.5531518,0.5267993,0.028634232,0.084601276,0.29104665,0.70761627,0.20276102,0.21342073,0.6754517,0.54451954,0.13307673,0.39690536,0.70156264,0.29739028,-0.20395255,0.2021031,0.24653439,793.7729,782.8938,799.81683,803.8461,694.2491,0.5101318359375,0.05743408203125,0.84759521484375,4.6954345703125,-0.897216796875,-1.5850830078125,1.0,1.0,1.0,1.0,1.0,25.0,
2023-09-07 23:45:45.718,0.8308399,0.12279458,0.41122946,0.57501984,0.53462887,0.06651573,0.08309577,0.31038514,0.70761627,0.20233202,0.20142835,0.6754517,0.5439167,0.1413266,0.42005515,0.72137773,0.30503014,-0.2168705,0.22675596,0.24982208,820.7692,801.4286,788.5348,825.6044,629.7802,0.5101318359375,0.05743408203125,0.84759521484375,4.6954345703125,-0.897216796875,-1.5850830078125,1.0,1.0,1.0,1.0,1.0,25.0,
2023-09-07 23:45:45.728,0.8308399,0.12279458,0.41122946,0.57501984,0.53462887,0.06651573,0.08309577,0.31038514,0.70761627,0.20233202,0.20142835,0.6754517,0.5439167,0.1413266,0.42005515,0.72137773,0.30503014,-0.2168705,0.22675596,0.24982208,809.4872,778.46155,788.1319,801.8315,990.40295,0.5093994140625,0.05633544921875,0.847900390625,4.463653564453125,-1.502838134765625,-0.770111083984375,1.0,1.0,1.0,1.0,1.0,25.0,
2023-09-07 23:45:45.779,0.8308399,0.12279458,0.41122946,0.57501984,0.53462887,0.06651573,0.08309577,0.31038514,0.70761627,0.20233202,0.20142835,0.6754517,0.5439167,0.1413266,0.42005515,0.72137773,0.30503014,-0.2168705,0.22675596,0.24982208,812.71063,792.1612,792.5641,802.6374,668.0586,0.4991455078125,0.05340576171875,0.84747314453125,4.66552734375,-1.2261962890625,-0.58319091796875,1.0,1.0,1.0,1.0,1.0,25.0,
2023-09-07 23:45:45.781,0.85262,0.21308492,0.40014964,0.5955172,0.5408458,0.09357126,0.07497237,0.33287138,0.70761627,0.20233202,0.21123265,0.6754517,0.5491394,0.14619313,0.4617715,0.7425328,0.31197447,-0.21908012,0.2587003,0.2517476,838.9011,815.12823,801.8315,829.6337,751.8681,0.4991455078125,0.05340576171875,0.84747314453125,4.66552734375,-1.2261962890625,-0.58319091796875,1.0,1.0,1.0,1.0,1.0,25.0,
2023-09-07 23:45:45.878,0.85262,0.21308492,0.40014964,0.5955172,0.5408458,0.09357126,0.07497237,0.33287138,0.70761627,0.20233202,0.21123265,0.6754517,0.5491394,0.14619313,0.4617715,0.7425328,0.31197447,-0.21908012,0.2587003,0.2517476,807.0696,793.36993,799.41394,789.7436,645.09155,0.50396728515625,0.056884765625,0.84796142578125,5.084228515625,-2.37762451171875,-0.91217041015625,1.0,1.0,1.0,1.0,1.0,25.0,
2023-09-07 23:45:45.882,0.87801623,0.33640715,0.38026232,0.61659676,0.55243874,0.12659147,0.06787285,0.36158076,0.70761627,0.20233202,0.26884472,0.6754517,0.5637761,0.15561156,0.52388823,0.7632724,0.31702244,-0.20023327,0.30865788,0.25265953,792.1612,803.8461,785.7143,812.71063,903.7729,0.50396728515625,0.056884765625,0.84796142578125,5.084228515625,-2.37762451171875,-0.91217041015625,1.0,1.0,1.0,1.0,1.0,25.0,
2023-09-07 23:45:45.928,0.87801623,0.33640715,0.38026232,0.61659676,0.55243874,0.12659147,0.06787285,0.36158076,0.70761627,0.20233202,0.26884472,0.6754517,0.5637761,0.15561156,0.52388823,0.7632724,0.31702244,-0.20023327,0.30865788,0.25265953,803.8461,807.0696,777.25275,814.7253,765.9707,0.5059814453125,0.05670166015625,0.85296630859375,4.486083984375,-2.699127197265625,-0.2691650390625,1.0,1.0,1.0,1.0,1.0,25.0,
2023-09-07 23:45:45.978,0.87801623,0.33640715,0.38026232,0.61659676,0.55243874,0.12659147,0.06787285,0.36158076,0.70761627,0.20233202,0.26884472,0.6754517,0.5637761,0.15561156,0.52388823,0.7632724,0.31702244,-0.20023327,0.30865788,0.25265953,811.0989,805.05493,805.8608,815.9341,617.6923,0.50347900390625,0.05987548828125,0.865478515625,4.725341796875,-2.429962158203125,-0.7177734375,1.0,1.0,1.0,1.0,1.0,25.0,
2023-09-07 23:45:45.984,0.90330607,0.44436544,0.35451007,0.64169157,0.572359,0.1744138,0.07090175,0.3980934,0.70761627,0.20564069,0.40084216,0.6754517,0.5860254,0.17985632,0.5951996,0.7831613,0.31623855,-0.15137953,0.37961352,0.25052977,814.7253,805.8608,801.02563,815.12823,862.674,0.50347900390625,0.05987548828125,0.865478515625,4.725341796875,-2.429962158203125,-0.7177734375,1.0,1.0,1.0,1.0,1.0,25.0,
2023-09-07 23:45:45.988,0.90330607,0.44436544,0.35451007,0.64169157,0.572359,0.1744138,0.07090175,0.3980934,0.70761627,0.20564069,0.40084216,0.6754517,0.5860254,0.17985632,0.5951996,0.7831613,0.31623855,-0.15137953,0.37961352,0.25052977,792.1612,799.81683,789.7436,789.34064,692.6374,0.52008056640625,0.06304931640625,0.8426513671875,3.431854248046875,-1.98883056640625,-1.368255615234375,1.0,1.0,1.0,1.0,1.0,25.0,
2023-09-07 23:45:46.034,0.90330607,0.44436544,0.35451007,0.64169157,0.572359,0.1744138,0.07090175,0.3980934,0.70761627,0.20564069,0.40084216,0.6754517,0.5860254,0.17985632,0.5951996,0.7831613,0.31623855,-0.15137953,0.37961352,0.25052977,778.86444,792.96704,788.93774,801.4286,699.0842,0.5140380859375,0.0606689453125,0.8507080078125,3.327178955078125,-1.256103515625,-2.332763671875,1.0,1.0,1.0,1.0,1.0,25.0,
2023-09-07 23:45:46.040,0.9279342,0.51399165,0.32929796,0.6717134,0.59850365,0.2286704,0.087108925,0.43848187,0.70761627,0.21927984,0.516807,0.6754517,0.61132693,0.22119746,0.65920466,0.80281013,0.30494708,-0.08055912,0.46147874,0.24075921,792.1612,794.17584,786.52014,794.9817,781.685,0.5140380859375,0.0606689453125,0.8507080078125,3.327178955078125,-1.256103515625,-2.332763671875,1.0,1.0,1.0,1.0,1.0,25.0,
2023-09-07 23:45:46.114,0.9279342,0.51399165,0.32929796,0.6717134,0.59850365,0.2286704,0.087108925,0.43848187,0.70761627,0.21927984,0.516807,0.6754517,0.61132693,0.22119746,0.65920466,0.80281013,0.30494708,-0.08055912,0.46147874,0.24075921,789.34064,805.4579,813.1135,807.0696,683.7729,0.5120849609375,0.0557861328125,0.84356689453125,3.18511962890625,0.351409912109375,-2.489776611328125,1.0,1.0,1.0,1.0,1.0,25.0,
2023-09-07 23:45:46.178,0.9279342,0.51399165,0.32929796,0.6717134,0.59850365,0.2286704,0.087108925,0.43848187,0.70761627,0.21927984,0.516807,0.6754517,0.61132693,0.22119746,0.65920466,0.80281013,0.30494708,-0.08055912,0.46147874,0.24075921,778.86444,782.49084,792.5641,786.52014,775.64105,0.48785400390625,0.0396728515625,0.82781982421875,3.4991455078125,0.142059326171875,-0.545806884765625,1.0,1.0,1.0,1.0,1.0,25.0,
2023-09-07 23:45:46.179,0.9488791,0.5477917,0.29799333,0.70112646,0.62043965,0.27575803,0.10891582,0.4677632,0.70761627,0.22454314,0.56265336,0.6754517,0.634066,0.27005365,0.70582193,0.8199154,0.27838355,-0.00976741,0.54198605,0.22080988,786.1172,774.0293,799.81683,776.4469,707.1429,0.48785400390625,0.0396728515625,0.82781982421875,3.4991455078125,0.142059326171875,-0.545806884765625,1.0,1.0,1.0,1.0,1.0,25.0,
2023-09-07 23:45:46.235,0.9488791,0.5477917,0.29799333,0.70112646,0.62043965,0.27575803,0.10891582,0.4677632,0.70761627,0.22454314,0.56265336,0.6754517,0.634066,0.27005365,0.70582193,0.8199154,0.27838355,-0.00976741,0.54198605,0.22080988,793.7729,789.34064,789.34064,794.9817,691.4286,0.4866943359375,0.04241943359375,0.8680419921875,5.061798095703125,-1.4654541015625,0.426177978515625,1.0,1.0,1.0,1.0,1.0,25.0,
2023-09-07 23:45:46.272,0.9488791,0.5477917,0.29799333,0.70112646,0.62043965,0.27575803,0.10891582,0.4677632,0.70761627,0.22454314,0.56265336,0.6754517,0.634066,0.27005365,0.70582193,0.8199154,0.27838355,-0.00976741,0.54198605,0.22080988,813.5165,803.8461,804.2491,809.0842,732.52747,0.50341796875,0.0577392578125,0.8502197265625,6.018829345703125,-3.81317138671875,0.04486083984375,1.0,1.0,1.0,1.0,1.0,25.0,
2023-09-07 23:45:46.274,0.95728546,0.5626569,0.24964589,0.71807796,0.62261367,0.31056926,0.123692326,0.46751598,0.69689226,0.23857318,0.5650821,0.67178977,0.6483464,0.31546736,0.7373966,0.8287259,0.2348892,0.047552902,0.61396426,0.19704753,812.3077,809.0842,795.78754,837.28937,956.55676,0.50341796875,0.0577392578125,0.8502197265625,6.018829345703125,-3.81317138671875,0.04486083984375,1.0,1.0,1.0,1.0,1.0,25.0,
2023-09-07 23:45:46.377,0.95728546,0.5626569,0.24964589,0.71807796,0.62261367,0.31056926,0.123692326,0.46751598,0.69689226,0.23857318,0.5650821,0.67178977,0.6483464,0.31546736,0.7373966,0.8287259,0.2348892,0.047552902,0.61396426,0.19704753,793.36993,793.7729,811.50183,790.54944,731.7216,0.513427734375,0.0616455078125,0.8668212890625,4.807586669921875,-0.411224365234375,-1.854248046875,1.0,1.0,1.0,1.0,1.0,25.0,
2023-09-07 23:45:46.381,0.9432,0.5759351,0.1842049,0.7106061,0.5909968,0.33627263,0.12681942,0.42489403,0.6486376,0.25294244,0.5650821,0.6332805,0.64969903,0.35363707,0.7638766,0.82575893,0.1800609,0.09304379,0.6746696,0.18457837,811.50183,809.89014,790.14655,807.47253,805.05493,0.513427734375,0.0616455078125,0.8668212890625,4.807586669921875,-0.411224365234375,-1.854248046875,1.0,1.0,1.0,1.0,1.0,25.0,
2023-09-07 23:45:46.424,0.9432,0.5759351,0.1842049,0.7106061,0.5909968,0.33627263,0.12681942,0.42489403,0.6486376,0.25294244,0.5650821,0.6332805,0.64969903,0.35363707,0.7638766,0.82575893,0.1800609,0.09304379,0.6746696,0.18457837,782.8938,789.7436,789.7436,789.34064,680.54944,0.49835205078125,0.06109619140625,0.86566162109375,4.35150146484375,-0.4486083984375,-1.45050048828125,1.0,1.0,1.0,1.0,1.0,25.0,
2023-09-07 23:45:46.465,0.9432,0.5759351,0.1842049,0.7106061,0.5909968,0.33627263,0.12681942,0.42489403,0.6486376,0.25294244,0.5650821,0.6332805,0.64969903,0.35363707,0.7638766,0.82575893,0.1800609,0.09304379,0.6746696,0.18457837,799.81683,798.20514,796.5934,812.3077,981.53845,0.487548828125,0.0531005859375,0.833251953125,4.66552734375,-1.547698974609375,-1.667327880859375,1.0,1.0,1.0,1.0,1.0,25.0,
