TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2023-09-08 00:03:37.380,0.34622788,-0.033175204,-0.060899857,0.47716275,0.19440678,0.03092196,-0.060271088,0.4969179,0.61609674,0.2546912,0.14012502,0.8960738,0.809905,0.18577422,0.27863878,1.0024306,0.6583147,-0.24298784,-0.1223793,0.6897435,786.1172,790.14655,791.75824,805.05493,763.95605,0.53179931640625,-0.05902099609375,0.8419189453125,5.405731201171875,-0.82244873046875,-0.022430419921875,1.0,1.0,1.0,1.0,1.0,25.0,
2023-09-08 00:03:37.384,0.34062803,0.004611345,-0.027591113,0.50198066,0.19287404,0.039735258,-0.009197777,0.48837897,0.61609674,0.24534658,0.14012502,0.8960738,0.81177914,0.17436494,0.26582807,0.99867433,0.6683106,-0.24642494,-0.1385003,0.6852292,789.7436,786.52014,787.72894,788.93774,830.4396,0.53179931640625,-0.05902099609375,0.8419189453125,5.405731201171875,-0.82244873046875,-0.022430419921875,1.0,1.0,1.0,1.0,1.0,25.0,
2023-09-08 00:03:37.419,0.34062803,0.004611345,-0.027591113,0.50198066,0.19287404,0.039735258,-0.009197777,0.48837897,0.61609674,0.24534658,0.14012502,0.8960738,0.81177914,0.17436494,0.26582807,0.99867433,0.6683106,-0.24642494,-0.1385003,0.6852292,771.6117,792.1612,788.1319,782.8938,846.1539,0.49127197265625,-0.051025390625,0.8525390625,7.185211181640625,-0.88226318359375,3.5888671875,1.0,1.0,1.0,1.0,1.0,25.0,
2023-09-08 00:03:37.468,0.34062803,0.004611345,-0.027591113,0.50198066,0.19287404,0.039735258,-0.009197777,0.48837897,0.61609674,0.24534658,0.14012502,0.8960738,0.81177914,0.17436494,0.26582807,0.99867433,0.6683106,-0.24642494,-0.1385003,0.6852292,785.31134,795.78754,794.57874,790.54944,712.7839,0.4847412109375,-0.0499267578125,0.84014892578125,7.29736328125,-2.609405517578125,0.665435791015625,1.0,1.0,1.0,1.0,1.0,25.0,
2023-09-08 00:03:37.474,0.33373472,0.056294437,-0.009321748,0.517992,0.18630263,0.040880855,0.007887612,0.47864708,0.61609674,0.23218523,0.13885777,0.8960738,0.8189056,0.15071444,0.250338,0.9907335,0.6745441,-0.25525638,-0.15577973,0.68283707,783.69965,789.34064,793.36993,802.23444,944.4689,0.4847412109375,-0.0499267578125,0.84014892578125,7.29736328125,-2.609405517578125,0.665435791015625,1.0,1.0,1.0,1.0,1.0,25.0,
2023-09-08 00:03:37.522,0.33373472,0.056294437,-0.009321748,0.517992,0.18630263,0.040880855,0.007887612,0.47864708,0.61609674,0.23218523,0.13885777,0.8960738,0.8189056,0.15071444,0.250338,0.9907335,0.6745441,-0.25525638,-0.15577973,0.68283707,790.9524,789.34064,795.78754,806.26373,710.3663,0.50372314453125,-0.042236328125,0.85394287109375,6.572113037109375,-4.18701171875,-1.62994384765625,1.0,1.0,1.0,1.0,1.0,25.0,
2023-09-08 00:03:37.574,0.34272957,0.10895649,-0.0023617565,0.54694366,0.1911703,0.0380095,0.003241615,0.4807458,0.59305125,0.2048686,0.13118933,0.8960738,0.8397056,0.12304055,0.22489111,0.97841907,0.6502613,-0.26452243,-0.17718525,0.6640068,790.9524,791.75824,790.54944,799.81683,1072.6007,0.50372314453125,-0.042236328125,0.85394287109375,6.572113037109375,-4.18701171875,-1.62994384765625,1.0,1.0,1.0,1.0,1.0,25.0,
2023-09-08 00:03:37.618,0.34272957,0.10895649,-0.0023617565,0.54694366,0.1911703,0.0380095,0.003241615,0.4807458,0.59305125,0.2048686,0.13118933,0.8960738,0.8397056,0.12304055,0.22489111,0.97841907,0.6502613,-0.26452243,-0.17718525,0.6640068,779.2674,787.326,793.36993,792.1612,750.65936,0.52276611328125,-0.04302978515625,0.855224609375,5.81695556640625,-4.42626953125,-0.680389404296875,1.0,1.0,1.0,1.0,1.0,25.0,
2023-09-08 00:03:37.669,0.34272957,0.10895649,-0.0023617565,0.54694366,0.1911703,0.0380095,0.003241615,0.4807458,0.59305125,0.2048686,0.13118933,0.8960738,0.8397056,0.12304055,0.22489111,0.97841907,0.6502613,-0.26452243,-0.17718525,0.6640068,782.0879,789.34064,792.1612,781.685,791.3553,0.5113525390625,-0.04876708984375,0.845458984375,4.44122314453125,-3.222503662109375,0.052337646484375,1.0,1.0,1.0,1.0,1.0,25.0,
2023-09-08 00:03:37.678,0.34598237,0.14253171,-0.0003440081,0.566767,0.19802429,0.03297699,-0.006385497,0.4862404,0.5818984,0.2020034,0.13601877,0.8960738,0.8629431,0.104880795,0.18809329,0.9657344,0.6245469,-0.26878873,-0.20275702,0.6596683,775.64105,787.326,792.96704,800.2198,748.6447,0.5113525390625,-0.04876708984375,0.845458984375,4.44122314453125,-3.222503662109375,0.052337646484375,1.0,1.0,1.0,1.0,1.0,25.0,
