timestamp,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,Delta_Aggregate,Theta_Aggregate,Alpha_Aggregate,Beta_Aggregate,Gamma_Aggregate
1694268924.967,725.6777,777.6557,823.9927,798.60803,0.6997761875,0.2021435225,0.237018205,0.18565978500000002,-0.19801975
1694268924.967,722.4542,773.6264,822.381,787.326,0.6997761875,0.2021435225,0.237018205,0.18565978500000002,-0.19801975
1694268924.967,728.9011,773.22345,818.7546,796.99634,0.6997761875,0.2021435225,0.237018205,0.18565978500000002,-0.19801975
1694268924.968,728.9011,774.83514,817.1429,789.7436,0.6997761875,0.2021435225,0.237018205,0.18565978500000002,-0.19801975
1694268924.968,714.7985,772.01465,818.7546,775.2381,0.6997761875,0.2021435225,0.237018205,0.18565978500000002,-0.19801975
1694268925.0249999,711.1722,773.22345,819.9634,785.7143,0.6997761875,0.2021435225,0.237018205,0.18565978500000002,-0.19801975
1694268925.0259998,721.2454,780.4762,818.7546,793.36993,0.6921869999999999,0.18956004499999998,0.2446907525,0.1750967375,-0.2062607275
1694268925.028,723.2601,778.86444,823.5897,791.75824,0.6921869999999999,0.18956004499999998,0.2446907525,0.1750967375,-0.2062607275
1694268925.029,715.6044,778.46155,826.4103,788.5348,0.6921869999999999,0.18956004499999998,0.2446907525,0.1750967375,-0.2062607275
1694268925.029,708.7546,779.67035,826.8132,789.34064,0.6921869999999999,0.18956004499999998,0.2446907525,0.1750967375,-0.2062607275
1694268925.0300002,703.91943,775.2381,824.3956,795.78754,0.6921869999999999,0.18956004499999998,0.2446907525,0.1750967375,-0.2062607275
1694268925.0300002,698.68134,767.98535,816.337,806.26373,0.6921869999999999,0.18956004499999998,0.2446907525,0.1750967375,-0.2062607275
1694268925.0310001,697.8755,766.77655,815.9341,803.44324,0.6921869999999999,0.18956004499999998,0.2446907525,0.1750967375,-0.2062607275
1694268925.0310001,691.8315,774.0293,817.5458,785.7143,0.6921869999999999,0.18956004499999998,0.2446907525,0.1750967375,-0.2062607275
1694268925.032,680.54944,775.2381,817.5458,783.2967,0.6921869999999999,0.18956004499999998,0.2446907525,0.1750967375,-0.2062607275
1694268925.033,688.20514,772.8205,821.5751,791.75824,0.6921869999999999,0.18956004499999998,0.2446907525,0.1750967375,-0.2062607275
1694268925.034,695.05493,773.22345,825.6044,790.9524,0.6921869999999999,0.18956004499999998,0.2446907525,0.1750967375,-0.2062607275
1694268925.078,694.2491,772.8205,828.022,792.5641,0.6921869999999999,0.18956004499999998,0.2446907525,0.1750967375,-0.2062607275
1694268925.078,696.26373,779.2674,826.0073,794.57874,0.6921869999999999,0.18956004499999998,0.2446907525,0.1750967375,-0.2062607275
