timestamp,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT
1694305068.2259998,772.01465,791.3553,790.9524,765.16486,701.50183
1694305068.227,787.72894,792.96704,790.14655,781.685,749.0476
1694305068.23,799.41394,798.20514,792.1612,796.5934,807.8755
1694305068.231,795.78754,799.41394,790.9524,791.3553,755.89746
1694305068.232,778.46155,797.3993,788.5348,774.43225,647.1062
1694305068.233,774.0293,798.60803,786.1172,775.2381,825.2015
1694305068.234,786.1172,801.4286,783.69965,786.9231,982.3443
1694305068.2350001,792.1612,802.6374,786.52014,795.38464,808.68134
1694305068.236,795.38464,803.0403,790.54944,790.9524,709.15753
1694305068.236,787.326,801.8315,792.96704,783.2967,896.1172
1694305068.237,774.43225,796.99634,792.5641,784.10254,938.8278
1694305068.2380002,784.10254,796.5934,786.52014,784.90845,683.7729
1694305068.276,796.99634,798.60803,783.69965,793.36993,698.2784
1694305068.276,790.14655,796.1905,784.90845,798.20514,777.6557
1694305068.278,775.2381,788.1319,786.9231,786.52014,745.42126
1694305068.278,772.01465,786.9231,787.326,774.43225,626.9597
1694305068.279,785.31134,788.93774,790.14655,780.87915,628.97437
1694305068.28,792.1612,788.5348,789.34064,803.0403,1019.81683
1694305068.281,785.31134,790.9524,789.7436,807.8755,1231.7583
1694305068.2819998,775.64105,792.1612,792.5641,786.1172,806.6667
1694305068.2819998,774.0293,796.99634,790.54944,767.5824,610.4396
1694305068.283,786.52014,799.011,793.7729,774.43225,697.0696
1694305068.284,796.1905,795.78754,794.9817,794.9817,730.5128
1694305068.2849998,789.34064,795.38464,793.36993,806.26373,730.9158
1694305068.2910001,781.685,799.41394,797.8022,797.8022,727.6923
1694305068.2910001,781.685,800.2198,801.8315,779.67035,713.9927
1694305068.292,788.93774,801.02563,799.41394,788.93774,704.7253
1694305068.293,801.02563,803.44324,792.1612,799.011,711.978
1694305068.296,801.4286,805.8608,789.7436,798.60803,907.3993
1694305068.297,785.31134,805.05493,788.5348,788.5348,1071.7949
1694305068.2979999,778.0586,801.8315,786.1172,775.2381,857.4359
1694305068.3,780.4762,801.4286,790.54944,780.87915,668.86444
1694305068.3009999,794.17584,805.4579,790.9524,803.44324,817.9487
1694305068.302,800.2198,808.2784,791.75824,824.3956,1104.0293
1694305068.303,787.326,807.0696,795.78754,809.89014,893.69965
1694305068.304,778.46155,803.44324,795.38464,786.52014,606.8132
1694305068.334,784.90845,803.44324,798.20514,794.17584,680.9524
1694305068.335,789.7436,801.4286,794.9817,808.2784,738.1685
1694305068.336,792.96704,799.011,789.34064,809.4872,695.05493
1694305068.337,790.54944,801.4286,792.96704,807.8755,718.022
1694305068.337,780.87915,799.81683,794.57874,786.9231,697.47253
1694305068.3379998,787.72894,801.4286,794.57874,781.28204,667.25275
1694305068.339,802.6374,803.8461,795.38464,801.02563,728.9011
1694305068.339,806.26373,799.011,795.78754,819.15753,741.39197
1694305068.34,794.9817,795.78754,795.38464,819.5604,1016.1905
1694305068.3409998,785.7143,796.5934,792.1612,796.1905,1068.5714
1694305068.3409998,785.7143,796.99634,790.54944,776.8498,679.34064
1694305068.3420002,800.6227,801.4286,789.7436,792.5641,733.3333
1694305068.3470001,807.47253,803.44324,790.14655,806.26373,842.1245
1694305068.3470001,795.38464,801.4286,789.7436,795.38464,794.57874
1694305068.348,785.31134,799.011,792.96704,778.86444,693.44324
1694305068.349,782.8938,797.3993,789.7436,774.43225,647.50916
1694305068.349,787.72894,793.36993,786.52014,790.54944,680.14655
1694305068.3500001,789.34064,788.93774,790.9524,807.47253,810.293
1694305068.353,795.38464,796.1905,794.17584,803.0403,839.304
1694305068.353,788.5348,797.8022,789.7436,788.1319,873.95605
1694305068.3539999,778.46155,792.96704,790.14655,786.52014,1058.0952
1694305068.3539999,784.5055,795.38464,788.5348,788.5348,881.2088
1694305068.355,792.5641,794.17584,786.9231,791.3553,686.1905
1694305068.356,792.96704,792.96704,790.54944,803.44324,871.9414
1694305068.384,785.7143,796.1905,792.96704,789.34064,863.0769
1694305068.384,779.67035,796.99634,793.36993,771.6117,633.00366
1694305068.385,792.1612,801.8315,791.3553,781.28204,631.79486
