timestamp,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT
1694132043.7129998,772.01465,803.8461,795.38464,781.685,637.4359
1694132043.7150002,769.59705,801.8315,796.5934,805.05493,763.5531
1694132043.721,770.0,807.8755,795.38464,809.89014,813.1135
1694132043.722,772.01465,807.0696,796.1905,783.2967,695.4579
1694132043.723,779.2674,794.17584,796.99634,776.8498,779.2674
1694132043.724,776.04395,795.78754,791.3553,792.1612,935.6044
1694132043.725,763.5531,810.696,785.7143,800.6227,784.10254
1694132043.726,761.9414,812.71063,787.72894,796.5934,778.0586
1694132043.727,767.5824,809.0842,786.1172,777.6557,833.2601
1694132043.728,775.64105,799.81683,784.5055,772.01465,1048.8279
1694132043.7289999,773.6264,813.91943,782.49084,774.0293,944.87177
1694132043.7299998,767.1795,826.4103,779.2674,778.46155,640.65936
1694132043.773,770.0,815.5311,779.67035,787.72894,715.6044
1694132043.7740002,774.0293,818.3516,780.87915,778.0586,716.4103
1694132043.775,782.49084,818.7546,782.8938,763.5531,610.0366
1694132043.776,780.87915,813.91943,784.5055,767.5824,572.5641
1694132043.777,774.43225,813.1135,786.1172,793.36993,725.6777
1694132043.777,775.2381,812.71063,786.9231,805.8608,877.1795
1694132043.7779999,780.4762,815.5311,786.52014,791.75824,876.77655
1694132043.7779999,785.31134,817.5458,788.1319,769.59705,684.17584
1694132043.779,790.54944,807.47253,790.54944,782.49084,867.9121
1694132043.779,790.14655,812.71063,793.36993,810.293,1149.9634
1694132043.779,782.8938,831.2454,795.38464,812.71063,880.80585
1694132043.78,780.4762,823.9927,796.1905,805.05493,765.16486
1694132043.781,780.4762,817.5458,797.3993,782.8938,743.00366
1694132043.782,776.8498,812.71063,794.17584,774.83514,691.4286
1694132043.783,771.6117,809.0842,792.1612,793.36993,691.4286
1694132043.783,769.19415,809.0842,792.96704,811.9048,761.9414
1694132043.7859998,765.9707,803.0403,789.34064,799.41394,796.5934
1694132043.7870002,771.6117,807.8755,787.72894,778.86444,725.6777
1694132043.7870002,769.59705,813.91943,787.326,776.4469,732.52747
1694132043.788,762.74725,808.2784,787.72894,794.9817,885.2381
1694132043.788,761.13556,799.011,782.8938,819.5604,1214.0293
1694132043.789,755.89746,809.89014,779.2674,808.2784,1163.663
1694132043.789,770.80585,818.7546,786.9231,778.0586,743.4066
1694132043.7900002,782.49084,807.47253,791.75824,780.4762,750.2564
1694132043.836,774.83514,811.0989,792.5641,799.81683,842.1245
1694132043.837,770.80585,817.9487,792.96704,808.2784,759.5238
1694132043.837,774.0293,812.71063,792.5641,808.68134,728.49817
