timestamp,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT
1694132756.8609998,803.8461,790.9524,808.2784,798.60803,734.94507
1694132756.8609998,805.8608,807.8755,810.293,797.3993,670.87915
1694132756.8620002,799.81683,777.25275,807.8755,803.44324,707.1429
1694132756.8630002,794.17584,778.46155,805.8608,805.05493,857.8388
1694132756.8630002,792.5641,803.44324,802.23444,800.2198,820.3663
1694132756.864,796.1905,781.28204,802.23444,792.1612,772.4176
1694132756.866,799.81683,761.13556,802.6374,788.5348,865.89746
1694132756.867,796.5934,761.9414,799.81683,796.5934,1080.6593
1694132756.867,795.38464,826.4103,801.02563,799.81683,870.7326
1694132756.868,800.6227,811.9048,806.6667,795.38464,700.696
1694132756.869,805.4579,770.0,806.6667,797.8022,744.21246
1694132756.869,804.2491,787.72894,801.8315,798.60803,699.89014
1694132756.896,799.81683,794.57874,797.8022,788.1319,626.1539
1694132756.8969998,800.2198,763.5531,795.78754,785.7143,662.4176
1694132756.8979998,801.8315,733.3333,794.9817,790.9524,912.6374
1694132756.8990002,794.57874,777.25275,797.8022,782.8938,901.75824
1694132756.8990002,797.3993,808.2784,801.02563,775.2381,668.46155
1694132756.9,803.44324,763.95605,801.8315,787.326,691.02563
1694132756.9,796.5934,749.45056,804.65204,808.68134,934.7985
1694132756.901,796.99634,798.20514,804.2491,805.05493,848.5714
1694132756.9020002,799.41394,805.4579,802.23444,792.5641,675.7143
1694132756.9020002,796.5934,776.04395,799.41394,787.326,636.63007
1694132756.903,804.65204,711.5751,794.57874,798.60803,901.3553
1694132756.903,804.2491,737.76556,794.17584,813.1135,1205.1648
1694132756.908,789.7436,836.8865,800.6227,802.23444,913.8461
1694132756.909,787.72894,812.3077,802.6374,792.96704,718.4249
1694132756.909,799.011,792.96704,799.81683,786.1172,741.39197
1694132756.91,806.26373,807.8755,797.3993,784.10254,670.07324
1694132756.911,802.23444,782.49084,795.78754,797.3993,649.12085
1694132756.911,796.1905,757.1062,795.38464,804.65204,767.1795
1694132756.912,797.3993,767.98535,794.9817,803.44324,928.7546
1694132756.912,799.81683,787.72894,796.5934,796.5934,846.9597
1694132756.915,799.81683,805.4579,802.23444,798.20514,657.5824
1694132756.915,798.20514,770.40295,801.4286,801.8315,737.3626
1694132756.916,790.9524,744.21246,799.81683,815.12823,1099.597
1694132756.9169998,797.3993,823.9927,801.02563,811.50183,892.8938
1694132756.9529998,811.9048,814.3223,803.8461,801.8315,637.8388
1694132756.9539998,811.9048,755.89746,803.8461,800.6227,750.65936
1694132756.9539998,805.4579,770.80585,801.02563,805.4579,743.4066
1694132756.9539998,806.6667,813.5165,804.65204,812.3077,707.1429
1694132756.9550002,815.9341,808.2784,811.0989,816.337,711.978
1694132756.9550002,815.5311,736.1539,805.8608,814.7253,994.83514
1694132756.9550002,809.4872,768.7912,797.3993,808.2784,1144.3224
1694132756.956,806.26373,836.4835,796.1905,793.7729,746.2271
1694132756.956,802.6374,788.1319,796.5934,791.75824,718.022
1694132756.956,800.2198,743.4066,801.8315,803.8461,972.674
1694132756.957,796.99634,808.2784,802.6374,799.81683,850.989
1694132756.957,796.5934,822.7839,800.6227,787.72894,623.73627
1694132756.988,795.38464,776.4469,803.8461,789.34064,651.53845
1694132756.9889998,798.60803,790.54944,806.6667,795.78754,753.0769
1694132756.99,803.0403,808.2784,808.68134,800.2198,726.08057
1694132756.9910002,798.20514,793.36993,805.8608,796.99634,661.2088
1694132756.992,804.2491,763.95605,802.23444,791.75824,687.8022
1694132756.992,806.26373,759.5238,801.4286,799.011,782.0879
1694132756.993,799.41394,773.22345,801.02563,808.68134,808.2784
1694132756.993,796.5934,794.17584,797.8022,806.26373,708.7546
1694132756.994,801.4286,750.65936,798.60803,803.8461,780.07324
1694132756.9950001,809.0842,721.2454,801.4286,810.696,995.2381
1694132756.997,807.8755,783.2967,800.2198,801.02563,768.3883
1694132756.9980001,799.011,784.90845,800.6227,801.8315,657.98535
1694132757.036,799.011,736.1539,804.2491,810.293,806.26373
1694132757.037,800.2198,742.1978,806.26373,807.0696,872.74725
1694132757.037,802.6374,757.1062,803.0403,804.65204,801.8315
1694132757.037,800.2198,751.4652,795.78754,797.3993,705.9341
1694132757.038,793.36993,702.71063,790.14655,800.2198,856.2271
1694132757.038,796.5934,716.0073,792.1612,808.2784,961.39197
1694132757.039,803.44324,756.30035,793.7729,803.8461,851.79486
1694132757.039,803.8461,733.3333,794.17584,798.20514,720.0366
1694132757.039,809.4872,685.78754,800.2198,809.4872,875.9707
1694132757.04,811.0989,745.42126,800.2198,810.293,893.69965
1694132757.04,803.8461,772.01465,796.99634,799.41394,705.9341
1694132757.04,798.60803,720.4396,794.17584,787.72894,728.49817
1694132757.1030002,797.3993,710.3663,792.96704,775.2381,755.09155
1694132757.1030002,799.41394,707.1429,791.75824,779.2674,737.76556
1694132757.104,796.1905,719.6337,794.57874,794.57874,670.4762
1694132757.104,794.17584,698.68134,793.36993,801.02563,709.9634
1694132757.104,795.38464,697.47253,790.54944,795.78754,871.53845
1694132757.105,797.3993,719.6337,795.38464,788.93774,864.68866
1694132757.105,796.1905,728.49817,796.1905,785.31134,706.337
1694132757.105,797.8022,711.1722,793.7729,790.54944,752.27106
1694132757.106,801.8315,699.4872,797.8022,809.89014,1053.2601
1694132757.106,798.20514,769.59705,799.81683,807.47253,862.674
1694132757.106,803.0403,758.71796,800.2198,793.36993,633.8095
1694132757.107,806.6667,715.6044,795.78754,790.9524,740.58606
1694132757.1569998,798.20514,753.0769,790.54944,791.3553,747.4359
1694132757.1580002,785.7143,762.3443,792.5641,784.5055,708.7546
1694132757.1590002,792.1612,743.00366,793.36993,792.5641,737.76556
1694132757.1590002,803.0403,725.6777,795.38464,808.2784,922.71063
1694132757.16,801.8315,773.22345,798.60803,804.65204,948.0952
1694132757.16,799.81683,795.38464,796.1905,792.96704,719.6337
1694132757.161,796.1905,766.77655,794.9817,791.75824,739.7802
1694132757.161,803.8461,755.09155,797.3993,799.011,903.36993
1694132757.161,805.05493,804.2491,796.5934,801.02563,795.38464
1694132757.162,804.65204,831.2454,798.20514,794.17584,615.2747
1694132757.162,810.293,793.7729,799.011,801.8315,629.7802
1694132757.163,803.0403,748.6447,793.7729,817.9487,945.2747
1694132757.208,798.20514,815.5311,796.1905,813.5165,919.89014
1694132757.2099998,799.81683,846.1539,799.81683,798.20514,699.4872
1694132757.211,788.93774,801.8315,797.3993,785.7143,684.57874
1694132757.212,788.1319,818.3516,799.011,785.31134,671.685
1694132757.2129998,791.3553,825.2015,803.0403,792.5641,707.1429
1694132757.2129998,790.9524,804.65204,797.8022,795.78754,741.39197
1694132757.2140002,796.5934,796.99634,794.57874,796.5934,832.0513
1694132757.2150002,799.81683,780.4762,796.1905,802.6374,1130.2197
1694132757.2150002,796.1905,861.06226,796.1905,791.3553,959.3773
1694132757.216,792.1612,871.53845,793.7729,788.5348,666.8498
1694132757.216,792.96704,810.696,790.54944,799.81683,689.41394
1694132757.217,798.20514,838.0952,788.5348,791.3553,713.1868
1694132757.256,805.05493,857.8388,788.5348,787.72894,667.25275
1694132757.256,805.4579,836.8865,790.14655,793.36993,644.68866
1694132757.259,801.8315,807.0696,790.54944,803.0403,900.14655
1694132757.26,803.0403,854.61536,789.7436,803.0403,956.1539
1694132757.26,803.0403,881.6117,790.14655,794.57874,717.619
1694132757.261,799.011,824.7985,789.34064,787.326,713.9927
1694132757.261,804.65204,784.10254,787.72894,784.90845,981.53845
1694132757.262,812.71063,843.3333,789.7436,789.7436,946.08057
1694132757.262,803.44324,865.89746,793.36993,787.72894,703.5165
1694132757.262,801.02563,809.89014,797.3993,792.96704,749.85345
1694132757.263,805.8608,819.5604,796.1905,799.011,798.20514
1694132757.263,803.44324,859.45056,797.8022,791.75824,706.7399
1694132757.3049998,801.02563,861.8681,798.20514,796.1905,656.3736
1694132757.3049998,801.8315,832.0513,798.20514,803.44324,704.3223
1694132757.3059998,794.57874,828.4249,797.8022,801.8315,831.2454
1694132757.3059998,787.326,860.2564,792.5641,788.5348,760.7326
1694132757.3070002,794.57874,855.0183,792.96704,778.86444,614.0659
1694132757.3070002,792.5641,816.337,798.20514,794.57874,780.07324
1694132757.3070002,783.69965,818.7546,799.81683,802.23444,1017.3993
1694132757.308,785.7143,871.9414,798.60803,790.54944,827.619
1694132757.308,791.3553,851.79486,796.99634,784.5055,682.1612
1694132757.309,795.78754,810.293,801.02563,782.8938,725.2747
1694132757.3100002,793.7729,824.7985,806.6667,792.5641,753.8828
1694132757.3100002,798.60803,830.0366,807.8755,804.2491,736.55676
1694132757.36,796.5934,835.6777,803.8461,799.41394,707.9487
1694132757.3609998,796.99634,796.99634,801.02563,795.38464,845.7509
1694132757.362,798.60803,808.2784,800.2198,796.1905,960.989
1694132757.362,790.9524,862.674,796.99634,791.75824,709.5604
1694132757.3660002,793.36993,834.4689,796.99634,794.17584,628.1685
1694132757.3660002,796.5934,765.16486,796.99634,805.05493,975.09155
1694132757.367,794.17584,789.7436,796.99634,806.6667,1060.1099
1694132757.368,794.9817,854.21246,798.20514,792.1612,754.2857
1694132757.369,796.1905,816.337,803.8461,796.5934,660.40295
1694132757.37,793.36993,761.13556,803.0403,811.9048,900.14655
1694132757.371,789.7436,806.6667,801.02563,805.8608,861.4652
1694132757.371,793.36993,807.0696,805.05493,796.99634,686.5934
1694132757.428,800.2198,770.0,805.4579,794.9817,683.36993
1694132757.429,801.4286,771.6117,807.8755,796.99634,722.8571
1694132757.43,800.2198,772.8205,810.696,802.6374,823.9927
1694132757.43,795.38464,782.49084,807.0696,805.4579,771.6117
1694132757.431,798.60803,752.27106,802.6374,802.23444,770.80585
1694132757.431,799.81683,731.31866,799.81683,798.60803,975.09155
1694132757.432,795.78754,770.0,794.57874,789.7436,889.67035
1694132757.432,787.72894,792.5641,796.5934,788.93774,733.3333
1694132757.4329998,785.7143,736.55676,798.20514,800.2198,804.65204
1694132757.4329998,793.36993,736.55676,793.36993,798.60803,984.35895
1694132757.4339998,798.20514,799.81683,793.7729,788.1319,805.8608
1694132757.4339998,799.41394,774.83514,797.3993,794.57874,654.35895
1694132757.4350002,795.38464,753.47986,800.2198,803.44324,742.6007
1694132757.436,797.8022,761.9414,798.60803,802.23444,751.8681
1694132757.436,796.1905,770.0,791.75824,798.60803,749.85345
1694132757.437,792.1612,787.72894,789.34064,795.78754,678.1319
1694132757.437,801.8315,750.2564,790.9524,800.6227,836.08057
1694132757.4380002,796.5934,784.90845,791.75824,804.65204,968.24176
1694132757.441,791.75824,830.4396,794.57874,805.8608,782.49084
1694132757.442,795.78754,801.8315,791.75824,807.47253,740.989
1694132757.443,794.17584,787.72894,789.7436,801.8315,866.30035
1694132757.444,793.7729,844.5421,792.96704,797.3993,759.12085
1694132757.444,794.17584,868.71796,795.78754,796.5934,623.3333
1694132757.445,792.5641,825.2015,797.8022,803.44324,737.76556
1694132757.493,792.5641,791.3553,799.41394,811.0989,991.6117
1694132757.4940002,792.5641,867.50916,800.2198,807.8755,859.85345
1694132757.4950001,794.9817,895.7143,800.2198,796.5934,641.06226
1694132757.496,794.9817,865.4945,803.44324,794.17584,672.49084
1694132757.496,794.17584,882.01465,801.4286,797.8022,712.7839
1694132757.497,798.20514,879.19415,799.41394,793.36993,763.1502
1694132757.497,799.41394,879.59705,801.02563,787.326,751.06226
1694132757.498,804.65204,872.74725,798.60803,781.685,845.7509
1694132757.499,803.0403,845.7509,798.60803,788.93774,1141.9048
1694132757.499,797.3993,918.2784,799.81683,792.96704,939.2308
1694132757.5,794.57874,920.293,799.81683,790.54944,688.20514
1694132757.501,800.6227,859.0476,801.02563,790.14655,754.68866
