timestamp,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT
1694130345.716,793.7729,782.8938,799.81683,803.8461,694.2491
1694130345.717,811.0989,783.2967,806.26373,819.15753,657.5824
1694130345.7180002,820.7692,797.8022,795.38464,823.9927,593.91943
1694130345.7180002,820.7692,801.4286,788.5348,825.6044,629.7802
1694130345.722,832.8571,796.99634,790.14655,829.2308,730.10986
1694130345.723,859.85345,803.8461,782.8938,826.0073,780.07324
1694130345.723,843.73627,803.0403,781.28204,824.7985,755.09155
1694130345.724,821.5751,795.78754,780.4762,815.9341,615.6777
1694130345.725,832.8571,797.8022,757.50916,827.2161,825.2015
1694130345.725,842.9304,803.8461,777.6557,838.0952,1001.28204
1694130345.726,838.9011,807.47253,826.8132,834.4689,732.52747
1694130345.727,819.15753,794.17584,816.337,810.293,719.2308
1694130345.728,809.4872,778.46155,788.1319,801.8315,990.40295
1694130345.7289999,814.7253,784.10254,779.2674,819.9634,931.978
1694130345.7289999,823.9927,803.0403,794.17584,828.8278,685.78754
1694130345.7289999,821.5751,805.05493,809.0842,825.2015,672.0879
1694130345.7299998,819.15753,802.23444,807.8755,817.5458,686.1905
1694130345.7299998,826.4103,798.20514,797.8022,816.7399,697.8755
1694130345.731,834.4689,798.20514,793.7729,826.0073,706.7399
1694130345.731,850.18317,818.3516,792.1612,854.21246,723.663
1694130345.732,855.42126,810.696,794.9817,871.13556,1008.1319
1694130345.732,840.10986,792.96704,811.9048,846.9597,853.8095
1694130345.733,826.8132,799.81683,815.5311,814.7253,576.1905
1694130345.733,816.337,790.14655,801.8315,799.011,614.4689
1694130345.779,812.71063,792.1612,792.5641,802.6374,668.0586
1694130345.779,823.9927,799.011,785.31134,815.5311,711.1722
1694130345.78,836.08057,806.6667,786.52014,826.0073,655.16486
1694130345.78,832.4542,812.3077,789.34064,819.15753,675.7143
1694130345.781,831.2454,817.5458,796.1905,819.9634,747.8388
1694130345.781,838.9011,815.12823,801.8315,829.6337,751.8681
1694130345.784,836.08057,804.2491,807.8755,834.87177,742.6007
1694130345.7849998,848.97437,808.68134,799.81683,841.7216,912.23444
1694130345.7849998,859.0476,826.8132,784.90845,849.7802,936.0073
1694130345.7859998,844.5421,828.8278,806.26373,838.0952,675.7143
1694130345.7870002,823.9927,806.6667,799.41394,814.3223,663.22345
1694130345.788,800.2198,796.1905,784.90845,806.26373,809.89014
1694130345.828,823.1868,803.8461,788.1319,821.1722,866.7033
1694130345.829,853.4066,823.1868,798.20514,840.5128,749.85345
1694130345.829,821.5751,805.4579,790.54944,818.7546,682.1612
1694130345.829,809.0842,793.7729,790.54944,813.1135,982.74725
1694130345.8300002,828.022,806.6667,811.9048,833.2601,1008.5348
1694130345.8300002,815.9341,800.6227,801.8315,816.7399,728.0952
1694130345.831,812.3077,803.8461,796.1905,807.0696,648.315
1694130345.831,804.65204,804.2491,793.36993,813.1135,944.0659
1694130345.832,807.0696,811.50183,784.10254,818.7546,994.83514
1694130345.832,834.87177,824.7985,778.86444,829.6337,731.31866
1694130345.833,822.381,803.0403,775.2381,808.68134,696.26373
1694130345.8339999,804.65204,788.93774,794.9817,788.5348,697.8755
1694130345.878,807.0696,793.36993,799.41394,789.7436,645.09155
1694130345.879,803.0403,791.75824,790.9524,794.9817,674.90845
1694130345.88,802.6374,788.1319,789.7436,809.89014,791.75824
1694130345.88,795.38464,791.75824,791.3553,804.65204,790.14655
1694130345.88,799.41394,799.011,795.38464,800.2198,709.9634
1694130345.881,811.9048,801.02563,786.9231,799.81683,771.2088
1694130345.881,809.0842,800.6227,780.87915,807.8755,895.31134
1694130345.882,792.1612,803.8461,785.7143,812.71063,903.7729
1694130345.885,800.2198,804.65204,783.2967,811.9048,773.22345
1694130345.885,813.5165,794.17584,782.8938,812.71063,657.5824
1694130345.8860002,814.7253,796.99634,804.65204,830.0366,861.8681
1694130345.8860002,806.6667,803.8461,809.4872,836.4835,994.83514
1694130345.928,803.8461,807.0696,777.25275,814.7253,765.9707
1694130345.929,802.23444,798.60803,765.16486,795.38464,746.2271
1694130345.929,807.47253,803.44324,785.7143,814.7253,919.89014
1694130345.9299998,817.1429,811.0989,803.8461,819.5604,780.4762
1694130345.9299998,797.3993,800.6227,821.978,798.20514,577.8022
1694130345.931,763.95605,790.9524,794.57874,785.31134,772.01465
1694130345.931,784.90845,782.49084,791.75824,791.3553,1134.652
1694130345.932,798.20514,790.54944,792.96704,800.2198,913.0403
1694130345.932,803.44324,803.0403,777.6557,797.3993,579.41394
1694130345.9329998,812.71063,799.41394,790.14655,790.54944,684.17584
1694130345.934,813.91943,797.3993,801.8315,806.26373,853.4066
