timestamp,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT
1694132406.56,813.1135,814.7253,799.81683,792.5641,653.95605
1694132406.5609999,808.2784,802.23444,798.20514,796.99634,643.8828
1694132406.5609999,794.9817,803.44324,796.5934,802.6374,747.8388
1694132406.5619998,794.57874,815.12823,793.36993,801.02563,788.93774
1694132406.5619998,796.1905,802.6374,794.17584,798.60803,768.3883
1694132406.563,801.4286,782.8938,795.38464,791.3553,738.5714
1694132406.563,805.4579,776.04395,795.78754,789.7436,975.09155
1694132406.564,796.5934,800.2198,791.75824,797.8022,1054.0659
1694132406.5670002,798.60803,814.7253,795.38464,808.2784,851.39197
1694132406.5670002,805.4579,799.011,799.011,807.0696,774.0293
1694132406.568,800.2198,776.04395,792.1612,790.54944,947.28937
1694132406.569,791.75824,801.4286,788.5348,779.67035,871.9414
1694132406.6,790.54944,820.7692,789.34064,780.4762,618.9011
1694132406.6009998,791.3553,790.14655,791.75824,793.7729,747.8388
1694132406.6009998,793.7729,793.36993,792.5641,796.5934,816.337
1694132406.6019998,798.60803,815.9341,793.36993,782.0879,694.2491
1694132406.6019998,800.2198,805.05493,796.99634,779.67035,627.76556
1694132406.6019998,800.6227,786.1172,799.41394,794.17584,811.0989
1694132406.6030002,795.78754,790.9524,799.011,798.20514,917.0696
1694132406.604,794.9817,809.4872,800.2198,801.8315,796.5934
1694132406.605,791.75824,814.7253,798.60803,791.3553,670.07324
1694132406.605,790.14655,775.64105,799.81683,786.52014,777.6557
1694132406.6060002,795.38464,776.4469,801.8315,801.8315,921.50183
1694132406.6060002,798.20514,822.7839,800.6227,805.8608,766.3736
1694132406.648,792.1612,809.0842,804.65204,799.011,730.9158
1694132406.648,788.1319,782.8938,801.8315,794.17584,799.81683
1694132406.649,792.5641,794.9817,799.81683,789.7436,763.5531
1694132406.6499999,792.5641,806.6667,808.68134,791.3553,676.52014
1694132406.6499999,790.54944,792.96704,808.68134,805.05493,683.7729
1694132406.651,788.93774,781.685,805.8608,803.0403,850.18317
1694132406.652,785.7143,793.7729,801.8315,787.326,823.9927
1694132406.652,788.1319,796.1905,797.8022,784.5055,697.0696
1694132406.6529999,788.5348,794.57874,799.011,791.75824,686.1905
1694132406.654,787.326,770.80585,796.1905,805.05493,997.25275
1694132406.656,791.75824,797.8022,800.6227,815.12823,1100.403
1694132406.6569998,794.9817,836.8865,801.4286,799.41394,725.6777
1694132406.6790001,790.9524,801.4286,792.5641,782.49084,721.2454
1694132406.68,793.36993,789.7436,794.57874,782.8938,770.0
1694132406.68,800.2198,807.47253,802.23444,799.011,706.7399
1694132406.681,799.41394,811.50183,804.2491,806.6667,703.91943
1694132406.681,797.3993,780.07324,802.23444,801.02563,810.696
1694132406.682,808.68134,779.67035,801.4286,786.9231,915.8608
1694132406.682,814.3223,813.5165,803.0403,780.87915,837.28937
1694132406.683,801.8315,817.5458,802.23444,788.5348,711.978
1694132406.683,794.9817,780.4762,795.38464,798.20514,866.30035
1694132406.684,796.5934,776.8498,792.5641,800.6227,1023.8461
1694132406.684,801.02563,820.3663,792.5641,787.326,709.5604
1694132406.684,799.81683,801.02563,792.96704,786.9231,593.1135
1694132406.714,787.326,789.34064,795.38464,793.36993,701.50183
1694132406.7150002,790.54944,799.011,795.78754,799.81683,757.1062
1694132406.7150002,799.41394,798.60803,800.6227,800.6227,712.381
1694132406.7150002,789.34064,782.0879,799.41394,788.1319,688.20514
1694132406.716,794.9817,782.0879,797.8022,788.5348,753.0769
1694132406.716,801.02563,794.9817,802.6374,794.17584,806.26373
1694132406.716,793.7729,792.96704,804.2491,792.5641,766.3736
1694132406.717,790.9524,783.2967,804.65204,790.9524,809.89014
1694132406.717,794.57874,793.36993,804.65204,780.07324,867.50916
1694132406.7180002,802.23444,815.12823,805.4579,775.2381,729.707
1694132406.7180002,805.4579,815.5311,803.8461,789.7436,693.0403
1694132406.719,802.6374,796.99634,801.4286,802.23444,764.7619
1694132406.748,805.05493,755.89746,800.6227,809.4872,1073.8096
1694132406.7489998,804.2491,796.5934,803.0403,803.0403,1100.403
1694132406.7500002,801.8315,838.9011,804.65204,792.1612,728.49817
1694132406.7510002,809.89014,803.8461,802.6374,796.99634,699.0842
1694132406.7510002,810.696,799.41394,805.4579,808.2784,780.07324
1694132406.752,808.2784,803.0403,806.26373,809.4872,823.9927
1694132406.752,806.6667,803.0403,802.6374,796.5934,717.619
1694132406.753,807.0696,785.31134,802.6374,788.1319,826.8132
1694132406.753,803.8461,765.9707,801.4286,803.8461,1175.348
1694132406.754,798.60803,813.5165,801.8315,811.0989,949.707
1694132406.755,799.41394,818.3516,804.2491,796.1905,673.69965
1694132406.755,801.8315,794.57874,802.6374,784.5055,686.1905
1694132406.797,802.6374,806.6667,803.8461,789.34064,670.87915
1694132406.797,801.8315,804.65204,807.0696,799.011,658.7912
1694132406.798,806.26373,791.75824,808.2784,814.7253,713.5897
1694132406.798,809.89014,792.5641,805.05493,818.7546,785.7143
1694132406.798,805.4579,801.4286,806.26373,809.89014,770.40295
1694132406.799,807.0696,786.9231,805.4579,803.8461,735.7509
1694132406.8,803.0403,785.31134,805.8608,801.8315,699.89014
