TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2023-09-08 00:14:03.713,0.8859812,0.8490227,0.5053736,0.92988276,0.7045752,0.17483835,-0.02681491,0.32184237,0.5928894,0.42491448,0.36287522,0.43652818,0.61014605,0.2950929,0.19236884,0.5442581,-0.098472655,-0.23315345,-0.44327176,0.006203761,772.01465,803.8461,795.38464,781.685,637.4359,0.2310791015625,0.0665283203125,0.96234130859375,4.478607177734375,-3.237457275390625,-0.979461669921875,1.0,1.0,1.0,1.0,1.0,20.0,
2023-09-08 00:14:03.715,0.8859812,0.8742197,0.49293303,0.9022067,0.7045752,0.17082058,-0.05544169,0.30583662,0.5928894,0.42491448,0.35386437,0.41499418,0.61014605,0.28524867,0.19934726,0.5578433,-0.098472655,-0.25060692,-0.4300036,0.0030914827,769.59705,801.8315,796.5934,805.05493,763.5531,0.2310791015625,0.0665283203125,0.96234130859375,4.478607177734375,-3.237457275390625,-0.979461669921875,1.0,1.0,1.0,1.0,1.0,20.0,
2023-09-08 00:14:03.773,0.8859812,0.8742197,0.49293303,0.9022067,0.7045752,0.17082058,-0.05544169,0.30583662,0.5928894,0.42491448,0.35386437,0.41499418,0.61014605,0.28524867,0.19934726,0.5578433,-0.098472655,-0.25060692,-0.4300036,0.0030914827,770.0,815.5311,779.67035,787.72894,715.6044,0.233642578125,0.06890869140625,0.96478271484375,4.62066650390625,-3.3197021484375,-0.9869384765625,1.0,1.0,1.0,1.0,1.0,20.0,
2023-09-08 00:14:03.781,0.8859812,0.8742197,0.49293303,0.9022067,0.7045752,0.17082058,-0.05544169,0.30583662,0.5928894,0.42491448,0.35386437,0.41499418,0.61014605,0.28524867,0.19934726,0.5578433,-0.098472655,-0.25060692,-0.4300036,0.0030914827,780.4762,817.5458,797.3993,782.8938,743.00366,0.23370361328125,0.06597900390625,0.962158203125,4.53094482421875,-3.4393310546875,-0.777587890625,1.0,1.0,1.0,1.0,1.0,20.0,
2023-09-08 00:14:03.783,0.8859812,0.9039533,0.47511634,0.8702679,0.7045752,0.1620793,-0.045136835,0.29556522,0.5928894,0.42491448,0.29938442,0.36373746,0.61014605,0.27109715,0.20547214,0.5744496,-0.098472655,-0.2710748,-0.41103423,0.0030761324,769.19415,809.0842,792.96704,811.9048,761.9414,0.23370361328125,0.06597900390625,0.962158203125,4.53094482421875,-3.4393310546875,-0.777587890625,1.0,1.0,1.0,1.0,1.0,20.0,
2023-09-08 00:14:03.836,0.8859812,0.9039533,0.47511634,0.8702679,0.7045752,0.1620793,-0.045136835,0.29556522,0.5928894,0.42491448,0.29938442,0.36373746,0.61014605,0.27109715,0.20547214,0.5744496,-0.098472655,-0.2710748,-0.41103423,0.0030761324,774.83514,811.0989,792.5641,799.81683,842.1245,0.236328125,0.07501220703125,0.9649658203125,4.852447509765625,-2.519683837890625,-0.530853271484375,1.0,1.0,1.0,1.0,1.0,20.0,
2023-09-08 00:14:03.874,0.8859812,0.9039533,0.47511634,0.8702679,0.7045752,0.1620793,-0.045136835,0.29556522,0.5928894,0.42491448,0.29938442,0.36373746,0.61014605,0.27109715,0.20547214,0.5744496,-0.098472655,-0.2710748,-0.41103423,0.0030761324,772.01465,814.3223,798.60803,814.7253,830.84247,0.229248046875,0.07073974609375,0.96173095703125,4.6954345703125,-2.579498291015625,-0.426177978515625,1.0,1.0,1.0,1.0,1.0,20.0,
2023-09-08 00:14:03.877,0.8859812,0.93458986,0.471259,0.8592241,0.7045752,0.1518262,-0.008024484,0.29216227,0.5928894,0.42491448,0.23830368,0.2880947,0.61014605,0.25626308,0.21187489,0.59107924,-0.098472655,-0.2862684,-0.3864475,0.008340052,774.83514,814.3223,797.3993,812.71063,858.24176,0.229248046875,0.07073974609375,0.96173095703125,4.6954345703125,-2.579498291015625,-0.426177978515625,1.0,1.0,1.0,1.0,1.0,20.0,
2023-09-08 00:14:03.959,0.8859812,0.93458986,0.471259,0.8592241,0.7045752,0.1518262,-0.008024484,0.29216227,0.5928894,0.42491448,0.23830368,0.2880947,0.61014605,0.25626308,0.21187489,0.59107924,-0.098472655,-0.2862684,-0.3864475,0.008340052,778.0586,814.3223,801.02563,796.99634,647.1062,0.233154296875,0.0701904296875,0.96087646484375,4.643096923828125,-2.624359130859375,-1.03179931640625,1.0,1.0,1.0,1.0,1.0,20.0,
2023-09-08 00:14:03.963,0.8110398,0.96236974,0.4913186,0.8427004,0.71667236,0.1366995,0.026766546,0.28399736,0.56735957,0.42491448,0.23547992,0.3483158,0.6365328,0.24419592,0.21636505,0.57322776,-0.113608636,-0.29233262,-0.3613682,-0.0019091717,814.3223,811.9048,809.0842,812.3077,1195.4945,0.233154296875,0.0701904296875,0.96087646484375,4.643096923828125,-2.624359130859375,-1.03179931640625,1.0,1.0,1.0,1.0,1.0,20.0,
2023-09-08 00:14:04.011,0.8110398,0.96236974,0.4913186,0.8427004,0.71667236,0.1366995,0.026766546,0.28399736,0.56735957,0.42491448,0.23547992,0.3483158,0.6365328,0.24419592,0.21636505,0.57322776,-0.113608636,-0.29233262,-0.3613682,-0.0019091717,827.2161,814.7253,808.68134,813.1135,720.84247,0.22845458984375,0.07275390625,0.96734619140625,4.687957763671875,-3.30474853515625,-0.73272705078125,1.0,1.0,1.0,1.0,1.0,20.0,
2023-09-08 00:14:04.042,0.8110398,0.96236974,0.4913186,0.8427004,0.71667236,0.1366995,0.026766546,0.28399736,0.56735957,0.42491448,0.23547992,0.3483158,0.6365328,0.24419592,0.21636505,0.57322776,-0.113608636,-0.29233262,-0.3613682,-0.0019091717,832.4542,804.65204,813.5165,765.56775,647.50916,0.2335205078125,0.071044921875,0.96173095703125,4.7552490234375,-3.072967529296875,-1.128997802734375,1.0,1.0,1.0,1.0,1.0,20.0,
2023-09-08 00:14:04.045,0.77447635,0.9844707,0.52645695,0.8372456,0.7192566,0.11548665,0.04656348,0.27074566,0.56735957,0.42738232,0.24143374,0.35732132,0.6609896,0.23589878,0.2169325,0.54330057,-0.14095251,-0.28902847,-0.34026366,-0.036605984,818.7546,800.6227,790.54944,795.38464,959.7802,0.2335205078125,0.071044921875,0.96173095703125,4.7552490234375,-3.072967529296875,-1.128997802734375,1.0,1.0,1.0,1.0,1.0,20.0,
2023-09-08 00:14:04.080,0.77447635,0.9844707,0.52645695,0.8372456,0.7192566,0.11548665,0.04656348,0.27074566,0.56735957,0.42738232,0.24143374,0.35732132,0.6609896,0.23589878,0.2169325,0.54330057,-0.14095251,-0.28902847,-0.34026366,-0.036605984,815.5311,803.8461,793.36993,799.81683,861.06226,0.2354736328125,0.07354736328125,0.9630126953125,4.478607177734375,-2.654266357421875,-0.874786376953125,1.0,1.0,1.0,1.0,1.0,20.0,
2023-09-08 00:14:04.112,0.79116386,1.0010713,0.5670352,0.8346589,0.7110277,0.09123861,0.055577513,0.2577307,0.5627646,0.45274553,0.25336748,0.35732132,0.67481357,0.22962621,0.21442519,0.5010025,-0.18262383,-0.27844873,-0.3251565,-0.09289637,787.326,794.57874,796.1905,782.0879,773.22345,0.2354736328125,0.07354736328125,0.9630126953125,4.478607177734375,-2.654266357421875,-0.874786376953125,1.0,1.0,1.0,1.0,1.0,20.0,
2023-09-08 00:14:04.168,0.79116386,1.0010713,0.5670352,0.8346589,0.7110277,0.09123861,0.055577513,0.2577307,0.5627646,0.45274553,0.25336748,0.35732132,0.67481357,0.22962621,0.21442519,0.5010025,-0.18262383,-0.27844873,-0.3251565,-0.09289637,796.1905,801.02563,797.3993,778.46155,676.52014,0.2308349609375,0.0706787109375,0.9605712890625,4.32159423828125,-3.409423828125,-0.695343017578125,1.0,1.0,1.0,1.0,1.0,20.0,
2023-09-08 00:14:04.201,0.79116386,1.0010713,0.5670352,0.8346589,0.7110277,0.09123861,0.055577513,0.2577307,0.5627646,0.45274553,0.25336748,0.35732132,0.67481357,0.22962621,0.21442519,0.5010025,-0.18262383,-0.27844873,-0.3251565,-0.09289637,794.57874,813.5165,800.6227,808.68134,724.4689,0.23712158203125,0.0706787109375,0.95867919921875,4.50103759765625,-3.043060302734375,-1.128997802734375,1.0,1.0,1.0,1.0,1.0,20.0,
2023-09-08 00:14:04.275,0.79116386,1.0010713,0.5670352,0.8346589,0.7110277,0.09123861,0.055577513,0.2577307,0.5627646,0.45274553,0.25336748,0.35732132,0.67481357,0.22962621,0.21442519,0.5010025,-0.18262383,-0.27844873,-0.3251565,-0.09289637,798.20514,808.68134,804.2491,792.96704,710.7692,0.2281494140625,0.0726318359375,0.96697998046875,4.3963623046875,-2.504730224609375,-1.114044189453125,1.0,1.0,1.0,1.0,1.0,20.0,
2023-09-08 00:14:04.276,0.79116386,1.0095904,0.6015464,0.8258736,0.7110277,0.07196496,0.061974585,0.24340881,0.5627646,0.46142146,0.2767999,0.35991383,0.67481357,0.22230457,0.21285574,0.44661152,-0.18262383,-0.2646136,-0.31590274,-0.1539032,803.44324,803.8461,803.8461,774.43225,627.3626,0.2281494140625,0.0726318359375,0.96697998046875,4.3963623046875,-2.504730224609375,-1.114044189453125,1.0,1.0,1.0,1.0,1.0,20.0,
2023-09-08 00:14:04.329,0.79116386,1.0095904,0.6015464,0.8258736,0.7110277,0.07196496,0.061974585,0.24340881,0.5627646,0.46142146,0.2767999,0.35991383,0.67481357,0.22230457,0.21285574,0.44661152,-0.18262383,-0.2646136,-0.31590274,-0.1539032,822.381,812.71063,799.81683,782.0879,614.4689,0.23486328125,0.066650390625,0.959716796875,4.5159912109375,-2.833709716796875,-1.054229736328125,1.0,1.0,1.0,1.0,1.0,20.0,
2023-09-08 00:14:04.419,0.79116386,1.0095904,0.6015464,0.8258736,0.7110277,0.07196496,0.061974585,0.24340881,0.5627646,0.46142146,0.2767999,0.35991383,0.67481357,0.22230457,0.21285574,0.44661152,-0.18262383,-0.2646136,-0.31590274,-0.1539032,822.7839,820.3663,808.2784,815.9341,674.10254,0.23406982421875,0.07305908203125,0.95782470703125,4.47113037109375,-2.6318359375,-0.800018310546875,1.0,1.0,1.0,1.0,1.0,20.0,
2023-09-08 00:14:04.421,0.79116386,1.0084938,0.6259026,0.7999242,0.7110277,0.06274751,0.068225294,0.22352234,0.5627646,0.4686845,0.2805284,0.36579803,0.67481357,0.21166757,0.21379726,0.3809242,-0.18262383,-0.25324807,-0.31049648,-0.20685616,822.381,815.9341,815.5311,786.1172,621.7216,0.23406982421875,0.07305908203125,0.95782470703125,4.47113037109375,-2.6318359375,-0.800018310546875,1.0,1.0,1.0,1.0,1.0,20.0,
2023-09-08 00:14:04.466,0.79116386,1.0084938,0.6259026,0.7999242,0.7110277,0.06274751,0.068225294,0.22352234,0.5627646,0.4686845,0.2805284,0.36579803,0.67481357,0.21166757,0.21379726,0.3809242,-0.18262383,-0.25324807,-0.31049648,-0.20685616,788.93774,802.23444,801.4286,775.2381,790.14655,0.23095703125,0.075927734375,0.962890625,4.673004150390625,-2.930908203125,-0.157012939453125,1.0,1.0,1.0,1.0,1.0,20.0,
2023-09-08 00:14:04.470,0.79116386,1.0018022,0.6393985,0.745639,0.7110277,0.0617273,0.07018535,0.19423412,0.5627646,0.4690002,0.2750458,0.36989033,0.67481357,0.19675101,0.21304189,0.30696148,-0.18262383,-0.24869451,-0.306824,-0.25381482,778.86444,800.2198,803.0403,778.86444,679.34064,0.23095703125,0.075927734375,0.962890625,4.673004150390625,-2.930908203125,-0.157012939453125,1.0,1.0,1.0,1.0,1.0,20.0,
2023-09-08 00:14:04.506,0.79116386,1.0018022,0.6393985,0.745639,0.7110277,0.0617273,0.07018535,0.19423412,0.5627646,0.4690002,0.2750458,0.36989033,0.67481357,0.19675101,0.21304189,0.30696148,-0.18262383,-0.24869451,-0.306824,-0.25381482,782.49084,807.47253,800.2198,809.4872,789.7436,0.23345947265625,0.07196044921875,0.9613037109375,4.7552490234375,-3.48419189453125,-0.61309814453125,1.0,1.0,1.0,1.0,1.0,20.0,
2023-09-08 00:14:04.565,0.79116386,1.0018022,0.6393985,0.745639,0.7110277,0.0617273,0.07018535,0.19423412,0.5627646,0.4690002,0.2750458,0.36989033,0.67481357,0.19675101,0.21304189,0.30696148,-0.18262383,-0.24869451,-0.306824,-0.25381482,790.14655,804.65204,795.78754,787.326,838.49817,0.2352294921875,0.071533203125,0.96722412109375,4.50103759765625,-2.220611572265625,-0.934600830078125,1.0,1.0,1.0,1.0,1.0,20.0,
2023-09-08 00:14:04.572,0.79116386,0.9922259,0.6486615,0.6513585,0.7110277,0.0654187,0.05992987,0.15460384,0.5627646,0.47682723,0.27492905,0.37501237,0.67481357,0.17888868,0.2037069,0.23010305,-0.18262383,-0.25297347,-0.30456465,-0.31300408,806.26373,807.8755,788.5348,789.7436,868.315,0.2352294921875,0.071533203125,0.96722412109375,4.50103759765625,-2.220611572265625,-0.934600830078125,1.0,1.0,1.0,1.0,1.0,20.0,
2023-09-08 00:14:04.605,0.79116386,0.9922259,0.6486615,0.6513585,0.7110277,0.0654187,0.05992987,0.15460384,0.5627646,0.47682723,0.27492905,0.37501237,0.67481357,0.17888868,0.2037069,0.23010305,-0.18262383,-0.25297347,-0.30456465,-0.31300408,792.5641,812.3077,800.6227,781.28204,772.8205,0.23138427734375,0.07037353515625,0.95721435546875,4.418792724609375,-2.474822998046875,-1.128997802734375,1.0,1.0,1.0,1.0,1.0,20.0,
2023-09-08 00:14:04.697,0.79116386,0.9744461,0.6609253,0.4395987,0.7110277,0.068378784,0.03484701,0.10729246,0.5627646,0.4787201,0.27642936,0.37154567,0.67481357,0.1610996,0.18227243,0.15875018,-0.18262383,-0.2647845,-0.30606672,-0.40763366,783.2967,805.4579,786.52014,780.87915,652.3443,0.23138427734375,0.07037353515625,0.95721435546875,4.418792724609375,-2.474822998046875,-1.128997802734375,1.0,1.0,1.0,1.0,1.0,20.0,
