TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2023-09-10 00:11:11.273,0.5953851,0.1889711,0.12501915,0.07214517,0.10081143,-0.02837003,0.050872397,0.14758769,0.09791098,0.25676417,0.12997177,-0.041655082,0.32615614,0.09245209,-0.13649866,0.2696033,0.13437021,-0.37149373,-0.40974292,0.11702481,790.14655,796.1905,790.54944,801.4286,775.2381,0.115234375,-0.21307373046875,0.96746826171875,4.747772216796875,-3.147735595703125,0.37384033203125,1.0,1.0,1.0,1.0,1.0,30.0,
2023-09-10 00:11:11.332,0.5953851,0.1889711,0.12501915,0.07214517,0.10081143,-0.02837003,0.050872397,0.14758769,0.09791098,0.25676417,0.12997177,-0.041655082,0.32615614,0.09245209,-0.13649866,0.2696033,0.13437021,-0.37149373,-0.40974292,0.11702481,790.54944,797.3993,790.54944,787.326,682.1612,0.09619140625,-0.21929931640625,0.97076416015625,5.15899658203125,-1.936492919921875,-0.949554443359375,1.0,1.0,1.0,1.0,1.0,30.0,
2023-09-10 00:11:11.335,0.56868607,0.16805324,0.119044155,0.07214517,0.17668048,0.014298787,0.022481492,0.14758769,0.20707975,0.25676417,0.13272959,-0.041655082,0.32234144,0.08377321,-0.12727524,0.2696033,0.11511864,-0.39917246,-0.4271766,0.11702481,790.9524,801.8315,794.9817,802.6374,721.6484,0.09619140625,-0.21929931640625,0.97076416015625,5.15899658203125,-1.936492919921875,-0.949554443359375,1.0,1.0,1.0,1.0,1.0,30.0,
2023-09-10 00:11:11.344,0.56868607,0.16805324,0.119044155,0.07214517,0.17668048,0.014298787,0.022481492,0.14758769,0.20707975,0.25676417,0.13272959,-0.041655082,0.32234144,0.08377321,-0.12727524,0.2696033,0.11511864,-0.39917246,-0.4271766,0.11702481,804.65204,796.99634,798.20514,809.4872,759.12085,0.11102294921875,-0.21868896484375,0.97027587890625,4.059906005859375,-3.925323486328125,-1.652374267578125,1.0,1.0,1.0,1.0,1.0,30.0,
2023-09-10 00:11:11.356,0.56868607,0.16805324,0.119044155,0.07214517,0.17668048,0.014298787,0.022481492,0.14758769,0.20707975,0.25676417,0.13272959,-0.041655082,0.32234144,0.08377321,-0.12727524,0.2696033,0.11511864,-0.39917246,-0.4271766,0.11702481,794.9817,793.36993,790.54944,795.78754,681.75824,0.1195068359375,-0.21624755859375,0.976318359375,4.553375244140625,-3.147735595703125,-0.8673095703125,1.0,1.0,1.0,1.0,1.0,30.0,
2023-09-10 00:11:11.358,0.53260016,0.15287216,0.10952739,0.80606455,0.22634059,0.0572,-0.00027226534,0.0736915,0.24853356,0.25676417,0.13272959,0.30154508,0.307219,0.06819886,-0.1250614,0.4758864,0.101237535,-0.42864558,-0.44218108,0.32466874,791.75824,787.326,788.5348,786.9231,849.7802,0.1195068359375,-0.21624755859375,0.976318359375,4.553375244140625,-3.147735595703125,-0.8673095703125,1.0,1.0,1.0,1.0,1.0,30.0,
2023-09-10 00:11:11.364,0.53260016,0.15287216,0.10952739,0.80606455,0.22634059,0.0572,-0.00027226534,0.0736915,0.24853356,0.25676417,0.13272959,0.30154508,0.307219,0.06819886,-0.1250614,0.4758864,0.101237535,-0.42864558,-0.44218108,0.32466874,799.81683,794.9817,794.9817,792.96704,680.54944,0.11761474609375,-0.21466064453125,0.96337890625,4.3963623046875,-1.263580322265625,-0.9271240234375,1.0,1.0,1.0,1.0,1.0,30.0,
2023-09-10 00:11:11.376,0.53260016,0.15287216,0.10952739,0.80606455,0.22634059,0.0572,-0.00027226534,0.0736915,0.24853356,0.25676417,0.13272959,0.30154508,0.307219,0.06819886,-0.1250614,0.4758864,0.101237535,-0.42864558,-0.44218108,0.32466874,793.7729,790.14655,794.9817,796.5934,784.90845,0.100341796875,-0.211669921875,0.97564697265625,3.701019287109375,-1.00189208984375,-2.026214599609375,1.0,1.0,1.0,1.0,1.0,30.0,
2023-09-10 00:11:11.382,0.5033357,0.1492088,0.0934126,0.81192845,0.24911074,0.08632084,-0.023278186,0.100189984,0.28505015,0.25676417,0.13272959,0.3075943,0.2832592,0.04753978,-0.12493874,0.45071483,0.09012098,-0.45193115,-0.45725393,0.29085687,786.52014,790.54944,792.5641,792.5641,779.67035,0.100341796875,-0.211669921875,0.97564697265625,3.701019287109375,-1.00189208984375,-2.026214599609375,1.0,1.0,1.0,1.0,1.0,30.0,
2023-09-10 00:11:11.398,0.5033357,0.1492088,0.0934126,0.81192845,0.24911074,0.08632084,-0.023278186,0.100189984,0.28505015,0.25676417,0.13272959,0.3075943,0.2832592,0.04753978,-0.12493874,0.45071483,0.09012098,-0.45193115,-0.45725393,0.29085687,798.60803,792.96704,791.3553,794.9817,676.1172,0.1031494140625,-0.2091064453125,0.9708251953125,5.271148681640625,-1.86920166015625,-1.323394775390625,1.0,1.0,1.0,1.0,1.0,30.0,
